mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.08507919311523438,0.0034896167106569643,0.005453968048095703,0.0015001490292210192,4,2,50,"{'max_depth': 4, 'min_samples_split': 2, 'n_estimators': 50}",-2952.0065540878854,-4480.831408562071,-2995.1282262322093,-3476.1809087478687,-3238.109470270638,-3428.4513135801344,558.7093166862153,9,-1959.4345928250175,-1753.7122666759994,-1942.5729577187433,-1921.8279322701392,-1939.6082754741128,-1903.4312049928026,75.8042699971199
0.15857381820678712,0.007651470368870334,0.010431671142578125,0.0014761276136603394,4,2,100,"{'max_depth': 4, 'min_samples_split': 2, 'n_estimators': 100}",-2922.198185103594,-4403.803051779102,-2968.7866070196,-3515.3451319876685,-3229.223125947399,-3407.8712203674722,541.1135908474433,4,-1958.1764306793248,-1747.1837475664877,-1930.051122081418,-1919.7904776874086,-1906.074456232852,-1892.2552468494982,74.52386201958558
0.3139955043792725,0.015225460991893562,0.02030010223388672,0.0044088263839544345,4,2,200,"{'max_depth': 4, 'min_samples_split': 2, 'n_estimators': 200}",-2926.7331901249627,-4347.710883576125,-2966.182156089162,-3507.8333027063127,-3220.321690339084,-3393.7562445671297,520.3946017396817,1,-1938.4570813554674,-1731.3615262052758,-1913.3403234866923,-1912.2556384173445,-1910.103884980301,-1881.103690889016,75.5814565294254
0.08582243919372559,0.005969474179263748,0.0004957675933837891,0.0009915351867675782,4,5,50,"{'max_depth': 4, 'min_samples_split': 5, 'n_estimators': 50}",-2952.7432910728908,-4482.740822670129,-2996.565486632899,-3496.126128515511,-3248.095733108978,-3435.254292400082,558.7891324198017,12,-1974.039722884365,-1767.2737349085412,-1956.5384529026676,-1938.533967970914,-1958.7908518591225,-1919.0353461051222,76.71277287355046
0.15898771286010743,0.010584483615906089,0.012620019912719726,0.003125110006177334,4,5,100,"{'max_depth': 4, 'min_samples_split': 5, 'n_estimators': 100}",-2923.095129212254,-4400.253677157901,-2968.458995254472,-3519.6812091379443,-3239.2850847439004,-3410.1548191012944,539.2236247193466,5,-1973.4259802703828,-1760.1098585387517,-1943.711478315848,-1935.6260861801675,-1925.3740561612944,-1907.6494918932888,75.48749128794428
0.3051891803741455,0.004859634861268486,0.020210790634155273,0.0009392507521990228,4,5,200,"{'max_depth': 4, 'min_samples_split': 5, 'n_estimators': 200}",-2924.4810206773313,-4342.544290681142,-2960.503188986948,-3513.2117117154935,-3234.2845425816736,-3395.0049509285177,519.1953848799346,2,-1952.7001447199996,-1744.8446439187371,-1925.295806336854,-1926.5294906617307,-1925.9055970723102,-1895.0551365419262,75.81955295805005
0.0774153232574463,0.000992254206277995,0.005530357360839844,0.00028524026546262007,4,10,50,"{'max_depth': 4, 'min_samples_split': 10, 'n_estimators': 50}",-2974.6088220888632,-4492.77773305786,-3016.766118544468,-3474.671633884198,-3216.3309886534744,-3435.0310592457727,557.7030247512944,11,-2034.4489317802565,-1825.6659477567396,-2025.5083289465033,-2008.9557370520913,-2036.5296492593986,-1986.2217189589978,80.86430717805766
0.1528013229370117,0.002924345224947527,0.010426473617553712,0.0005401372441233065,4,10,100,"{'max_depth': 4, 'min_samples_split': 10, 'n_estimators': 100}",-2938.3216896095396,-4400.741999544689,-2985.0283441125894,-3508.860839386046,-3238.7487790454156,-3414.3403303396553,533.602342642451,6,-2027.7387427337965,-1814.8647427262176,-2017.9046917642847,-2009.7314222020261,-1994.4074677005024,-1972.9294134253655,79.78342312733452
0.3218569755554199,0.024153356804282627,0.020862722396850587,0.0008480972344348546,4,10,200,"{'max_depth': 4, 'min_samples_split': 10, 'n_estimators': 200}",-2936.400457493408,-4341.062127040312,-2968.861656791462,-3503.1955062351835,-3245.170270157242,-3398.9380035435215,514.0075198505386,3,-2010.2578836625585,-1798.1360866193913,-2002.0452936639797,-1999.0908668094032,-1989.420913840649,-1959.7902089191964,81.10123799555245
0.09398627281188965,0.004234637366759175,0.0058173656463623045,0.0007380308235869203,6,2,50,"{'max_depth': 6, 'min_samples_split': 2, 'n_estimators': 50}",-2906.862430488663,-4743.0314336884285,-3114.76673278173,-3455.2827763647592,-3096.7796657883728,-3463.3446078223906,663.8090344079234,21,-1097.3315032093099,-1007.6538243940388,-1140.7727285185751,-1119.8741021200647,-1162.6698870143446,-1105.6604090512667,53.59038334505464
